2025-08-05 09:43:40 | INFO     | src.prompts.loader:_load_prompts:45 | Loaded 10 bad prompts from data/bad_prompts.json
2025-08-05 09:43:40 | INFO     | src.database.leaderboard_db:_ensure_db_exists:40 | Created new leaderboard database: data/leaderboard.json
2025-08-05 09:43:40 | INFO     | src.components.session_manager:__init__:25 | Session manager initialized
2025-08-05 09:43:40 | INFO     | src.evaluators.ragas_wrapper:__init__:92 | Initialized LLM evaluator with model: gpt-4o-mini
2025-08-05 09:43:40 | INFO     | src.components.game:__init__:47 | Game initialized with model: gpt-4o-mini
2025-08-05 09:43:40 | INFO     | src.main:initialize_game:30 | Game initialized successfully
2025-08-05 09:43:47 | INFO     | src.utils.logger:log_player_action:92 | Player action - Username: kzks1, Action: session_started, Details: 
2025-08-05 09:43:47 | INFO     | src.components.session_manager:start_new_session:67 | Started new session for player: kzks1
2025-08-05 09:43:47 | INFO     | src.utils.logger:log_player_action:92 | Player action - Username: kzks1, Action: prompt_selected, Details: ID: poor_creative, Category: Creative Writing
2025-08-05 09:43:58 | INFO     | src.utils.logger:log_player_action:92 | Player action - Username: kzks1, Action: round_submitted, Details: Round 1
2025-08-05 09:43:58 | INFO     | src.components.game:submit_round:153 | Generating improved response for kzks1
2025-08-05 09:44:00 | INFO     | src.components.game:submit_round:157 | Evaluating prompt improvement for kzks1
2025-08-05 09:44:00 | INFO     | src.evaluators.ragas_wrapper:evaluate_prompt_improvement:187 | Starting prompt evaluation
2025-08-05 09:44:05 | INFO     | src.utils.logger:log_game_event:107 | Game event - Type: prompt_evaluated, Data: {'total_score': 1.0, 'breakdown': {'prompt_quality': 0.0, 'costar_usage': 1.0, 'creativity': 0.0, 'total': 1.0}}
2025-08-05 09:44:05 | INFO     | src.evaluators.ragas_wrapper:evaluate_prompt_improvement:244 | Evaluation completed - Total score: 1.00/10
2025-08-05 09:44:05 | INFO     | src.utils.logger:log_score_event:120 | Score event - Username: kzks1, Round: 1, Score: 1.00
2025-08-05 09:44:05 | INFO     | src.utils.logger:log_game_event:107 | Game event - Type: round_completed, Data: {'username': 'kzks1', 'round': 1, 'score': 1.0, 'category': 'Creative Writing'}
2025-08-05 09:44:05 | INFO     | src.components.game:submit_round:190 | Round 1 completed for kzks1 - Score: 1.00
2025-08-05 09:45:11 | INFO     | src.utils.logger:log_game_event:107 | Game event - Type: player_score_added, Data: {'username': 'kzks1', 'final_score': 1.0, 'rounds_played': 1}
2025-08-05 09:45:11 | INFO     | src.database.leaderboard_db:add_player_score:116 | Added score for player: kzks1 (Score: 1.00)
2025-08-05 09:45:11 | INFO     | src.utils.logger:log_player_action:92 | Player action - Username: kzks1, Action: session_ended, Details: Final score: 1.00, Rounds: 1
2025-08-05 09:45:11 | INFO     | src.components.session_manager:end_session:115 | Ended session for kzks1 - Final score: 1.00
2025-08-05 09:45:11 | INFO     | src.utils.logger:log_game_event:107 | Game event - Type: game_ended, Data: {'username': 'kzks1', 'final_score': 1.0, 'rank': 1}
2025-08-05 09:46:06 | INFO     | src.prompts.loader:_load_prompts:45 | Loaded 10 bad prompts from data/bad_prompts.json
2025-08-05 09:46:06 | INFO     | src.components.session_manager:__init__:25 | Session manager initialized
2025-08-05 09:46:06 | INFO     | src.evaluators.ragas_wrapper:__init__:92 | Initialized LLM evaluator with model: gpt-4o-mini
2025-08-05 09:46:06 | INFO     | src.components.game:__init__:47 | Game initialized with model: gpt-4o-mini
2025-08-05 09:46:06 | INFO     | src.main:initialize_game:30 | Game initialized successfully
2025-08-05 09:46:08 | INFO     | src.prompts.loader:_load_prompts:45 | Loaded 10 bad prompts from data/bad_prompts.json
2025-08-05 09:46:08 | INFO     | src.components.session_manager:__init__:25 | Session manager initialized
2025-08-05 09:46:08 | INFO     | src.evaluators.ragas_wrapper:__init__:92 | Initialized LLM evaluator with model: gpt-4o-mini
2025-08-05 09:46:08 | INFO     | src.components.game:__init__:47 | Game initialized with model: gpt-4o-mini
2025-08-05 09:46:08 | INFO     | src.main:initialize_game:30 | Game initialized successfully
2025-08-05 09:46:33 | INFO     | src.prompts.loader:_load_prompts:45 | Loaded 10 bad prompts from data/bad_prompts.json
2025-08-05 09:46:33 | INFO     | src.components.session_manager:__init__:25 | Session manager initialized
2025-08-05 09:46:33 | INFO     | src.evaluators.ragas_wrapper:__init__:92 | Initialized LLM evaluator with model: gpt-4o-mini
2025-08-05 09:46:33 | INFO     | src.components.game:__init__:47 | Game initialized with model: gpt-4o-mini
2025-08-05 09:46:33 | INFO     | src.main:initialize_game:30 | Game initialized successfully
2025-08-05 09:46:35 | INFO     | src.prompts.loader:_load_prompts:45 | Loaded 10 bad prompts from data/bad_prompts.json
